@relation relation name
@attribute Seq Name string
@attribute Width string
@attribute GC Content string
@attribute GC Ratio string
@data
'TAE_circ00001_Traes_1AL_A37D78764|ta_iwgsc_1al_v2_1679626(+):(3170-3270)(3170-3270)','202','62.3762','1.7391'
'TAE_circ00001_Traes_1AL_A37D78764|ta_iwgsc_1al_v2_1679626(+):(3170-3270)(3170-3270)','202','62.3762','1.7391'
'TAE_circ00001_Traes_1AL_A37D78764|ta_iwgsc_1al_v2_1679626(+):(3170-3270)(3170-3270)','202','62.3762','1.7391'
'TAE_circ00001_Traes_1AL_A37D78764|ta_iwgsc_1al_v2_1679626(+):(3170-3270)(3170-3270)','202','62.3762','1.7391'
'TAE_circ00001_Traes_1AL_A37D78764|ta_iwgsc_1al_v2_1679626(+):(3170-3270)(3170-3270)','202','62.3762','1.7391'
'TAE_circ00001_Traes_1AL_A37D78764|ta_iwgsc_1al_v2_1679626(+):(3170-3270)(3170-3270)','202','62.3762','1.7391'
'TAE_circ00001_Traes_1AL_A37D78764|ta_iwgsc_1al_v2_1679626(+):(3170-3270)(3170-3270)','202','62.3762','1.7391'
'TAE_circ00001_Traes_1AL_A37D78764|ta_iwgsc_1al_v2_1679626(+):(3170-3270)(3170-3270)','202','62.3762','1.7391'
'TAE_circ00001_Traes_1AL_A37D78764|ta_iwgsc_1al_v2_1679626(+):(3170-3270)(3170-3270)','202','62.3762','1.7391'
'TAE_circ00002_Traes_1AL_ADC801BEB|ta_iwgsc_1al_v2_3179684(+):(5525-5688)(5525-5688)','328','59.1463','0.7963'
'TAE_circ00003_Traes_1AL_6E5BA9C6F|ta_iwgsc_1al_v2_3715806(-):(4159-4015)(4159-4015)','290','57.931','0.68'
'TAE_circ00004_Traes_1AL_6E5BA9C6F|ta_iwgsc_1al_v2_3715806(-):(4166-4022)(4166-4022)','290','57.2414','0.66'
'TAE_circ00005_Traes_1AL_4610F9934|ta_iwgsc_1al_v2_3872663(+):(707-811)(707-811)','210','49.5238','1.8889'
'TAE_circ00005_Traes_1AL_4610F9934|ta_iwgsc_1al_v2_3872663(+):(707-811)(707-811)','210','49.5238','1.8889'
'TAE_circ00005_Traes_1AL_4610F9934|ta_iwgsc_1al_v2_3872663(+):(707-811)(707-811)','210','49.5238','1.8889'
'TAE_circ00006_Traes_1AL_9C2D7A0A6|ta_iwgsc_1al_v2_3876593(-):(13562-13461)(13562-13461)','204','48.0392','3.4545'
'TAE_circ00007_Traes_1AL_A54B21BC1|ta_iwgsc_1al_v2_3879002(-):(13660-13522)(13660-13522)','278','46.7626','0.8056'
'TAE_circ00007_Traes_1AL_A54B21BC1|ta_iwgsc_1al_v2_3879002(-):(13660-13522)(13660-13522)','278','46.7626','0.8056'
'TAE_circ00008_Traes_1AL_E25202CC2|ta_iwgsc_1al_v2_3885764(-):(12900-12897)(12900-12897)(13012-12900)','121','46.281','2.1111'
'TAE_circ00008_Traes_1AL_E25202CC2|ta_iwgsc_1al_v2_3885764(-):(12900-12897)(12900-12897)(13012-12900)','121','46.281','2.1111'
'TAE_circ00008_Traes_1AL_E25202CC2|ta_iwgsc_1al_v2_3885764(-):(12900-12897)(12900-12897)(13012-12900)','121','46.281','2.1111'
'TAE_circ00008_Traes_1AL_E25202CC2|ta_iwgsc_1al_v2_3885764(-):(12900-12897)(12900-12897)(13012-12900)','121','46.281','2.1111'
'TAE_circ00009_Traes_1AL_E12BF1698|ta_iwgsc_1al_v2_3892447(-):(4760-4632)(4760-4632)','258','62.7907','0.6531'
'TAE_circ00009_Traes_1AL_E12BF1698|ta_iwgsc_1al_v2_3892447(-):(4760-4632)(4760-4632)','258','62.7907','0.6531'
'TAE_circ00010_Traes_1AL_9A3C64935|ta_iwgsc_1al_v2_3896280(+):(1593-1745)(1593-1745)','306','67.3203','0.411'
'TAE_circ00010_Traes_1AL_9A3C64935|ta_iwgsc_1al_v2_3896280(+):(1593-1745)(1593-1745)','306','67.3203','0.411'
'TAE_circ00011_Traes_1AL_7C91EF27D|ta_iwgsc_1al_v2_3902956(-):(7821-7684)(7821-7684)','276','52.8986','2.3182'
'TAE_circ00013_Traes_1AL_DDC13A76D|ta_iwgsc_1al_v2_3912450(-):(1768-1667)(1768-1667)','204','67.6471','0.6047'
'TAE_circ00014_Traes_1AL_0F39673AF1|ta_iwgsc_1al_v2_3919870(-):(2533-2381)(2533-2381)','306','59.4771','0.9783'
'TAE_circ00015_Traes_1AL_0F39673AF1|ta_iwgsc_1al_v2_3919870(-):(2887-2740)(2887-2740)','296','67.5676','0.9608'
'TAE_circ00016_Traes_1AL_0F39673AF1|ta_iwgsc_1al_v2_3919870(-):(3088-2986)(3088-2986)','206','59.2233','0.7429'
'TAE_circ00017_Traes_1AL_0F39673AF1|ta_iwgsc_1al_v2_3919870(-):(3115-2995)(3115-2995)','242','58.6777','0.6136'
'TAE_circ00014_Traes_1AL_0F39673AF1|ta_iwgsc_1al_v2_3919870(-):(2533-2381)(2533-2381)','306','59.4771','0.9783'
'TAE_circ00015_Traes_1AL_0F39673AF1|ta_iwgsc_1al_v2_3919870(-):(2887-2740)(2887-2740)','296','67.5676','0.9608'
'TAE_circ00016_Traes_1AL_0F39673AF1|ta_iwgsc_1al_v2_3919870(-):(3088-2986)(3088-2986)','206','59.2233','0.7429'
'TAE_circ00017_Traes_1AL_0F39673AF1|ta_iwgsc_1al_v2_3919870(-):(3115-2995)(3115-2995)','242','58.6777','0.6136'
'TAE_circ00014_Traes_1AL_0F39673AF1|ta_iwgsc_1al_v2_3919870(-):(2533-2381)(2533-2381)','306','59.4771','0.9783'
'TAE_circ00015_Traes_1AL_0F39673AF1|ta_iwgsc_1al_v2_3919870(-):(2887-2740)(2887-2740)','296','67.5676','0.9608'
