@relation relation name
@attribute Seq Name string
@attribute Width string
@attribute GC Content string
@attribute GC Ratio string
@data
'tae_circ_000001','752','43.883','0.6667'
'tae_circ_000002','87','68.9655','1.4'
'tae_circ_000003','1526','40.3014','0.8865'
'tae_circ_000004','2250','37.4222','0.9536'
'tae_circ_000005','867','35.9862','1.08'
'tae_circ_000006','1462','39.3981','1.0353'
'tae_circ_000007','1446','39.5574','1.0212'
'tae_circ_000008','1204','37.8738','0.9241'
'tae_circ_000009','1611','37.4302','0.8903'
'tae_circ_000010','534','37.6404','0.8273'
'tae_circ_000011','11225','42.1737','1.0239'
'tae_circ_000012','2829','37.6458','0.9434'
'tae_circ_000013','9114','36.7018','1.0919'
'tae_circ_000014','1429','38.6984','1.0481'
'tae_circ_000015','1354','37.5185','0.9464'
'tae_circ_000016','1507','38.5534','1.1282'
'tae_circ_000017','1398','38.4835','0.9146'
'tae_circ_000018','1357','38.4672','0.9624'
'tae_circ_000019','1351','38.342','0.9696'
'tae_circ_000020','86','54.6512','0.4242'
'tae_circ_000021','712','42.9775','0.6541'
'tae_circ_000022','990','40.202','1.0306'
'tae_circ_000023','1005','40.2985','1.0455'
'tae_circ_000024','843','39.9763','1.018'
'tae_circ_000025','155','51.6129','1.4242'
'tae_circ_000026','823','36.209','1.0'
'tae_circ_000027','1338','38.9387','0.9885'
'tae_circ_000028','92','34.7826','1.0'
'tae_circ_000029','2492','39.2456','1.3175'
'tae_circ_000030','138','54.3478','0.875'
'tae_circ_000031','61','47.541','0.381'
'tae_circ_000032','4233','40.2079','1.0118'
'tae_circ_000033','1480','38.3784','0.9654'
'tae_circ_000034','1433','38.5904','0.9892'
'tae_circ_000035','829','35.4644','0.9342'
'tae_circ_000036','3081','39.0133','0.8075'
'tae_circ_000037','1419','39.253','0.9822'
'tae_circ_000038','1466','39.0859','0.9556'
'tae_circ_000039','1459','39.0679','0.9521'
'tae_circ_000040','179','43.5754','0.7333'
'tae_circ_000041','902','37.1397','1.1474'
'tae_circ_000042','1409','39.1767','0.9856'
'tae_circ_000043','1456','39.0797','0.9553'
'tae_circ_000044','1393','39.3396','1.0'
'tae_circ_000045','1440','39.2361','0.9686'
'tae_circ_000046','1386','39.3218','0.9963'
'tae_circ_000047','1433','39.2184','0.965'
'tae_circ_000048','1328','38.9307','1.0516'
'tae_circ_000049','1461','37.7823','0.9233'
'tae_circ_000050','890','41.3483','1.2716'
'tae_circ_000051','2565','38.4795','1.1503'
'tae_circ_000052','1503','38.7891','1.2423'
'tae_circ_000053','1585','37.5394','1.1099'
'tae_circ_000054','1417','36.3444','0.9884'
'tae_circ_000055','1409','36.4798','0.9846'
'tae_circ_000056','1468','37.8065','0.9271'
'tae_circ_000057','1544','38.7306','0.9736'
'tae_circ_000058','837','40.6213','1.2667'
'tae_circ_000059','3552','37.866','1.0724'
'tae_circ_000060','1239','38.9831','1.1855'
'tae_circ_000061','942','40.4459','0.7804'
'tae_circ_000062','2029','34.2533','1.0381'
'tae_circ_000063','24335','38.4878','0.9718'
'tae_circ_000064','1148','39.3728','0.9738'
'tae_circ_000065','947','37.9092','0.9511'
'tae_circ_000066','1397','38.3679','1.0303'
'tae_circ_000067','1474','38.3989','0.9653'
'tae_circ_000068','84','44.0476','0.6818'
'tae_circ_000069','1157','38.2022','1.0654'
'tae_circ_000070','2835','38.7654','1.1054'
'tae_circ_000071','1584','40.1515','1.1856'
'tae_circ_000072','112','36.6071','1.1579'
'tae_circ_000073','105','44.7619','0.7407'
'tae_circ_000074','1430','36.993','1.0268'
'tae_circ_000075','146','54.7945','0.7021'
'tae_circ_000076','1329','37.0956','0.8745'
'tae_circ_000077','5261','38.2817','1.0572'
'tae_circ_000078','1485','50.4377','0.9156'
'tae_circ_000079','21866','52.1677','0.9078'
'tae_circ_000080','4155','42.3586','1.1463'
'tae_circ_000081','15286','43.1637','0.9766'
'tae_circ_000082','2734','38.9539','1.1869'
'tae_circ_000083','16669','29.8158','1.0537'
'tae_circ_000084','460','45.0','1.3523'
'tae_circ_000085','2814','37.349','0.9682'
'tae_circ_000086','13301','43.3501','1.1021'
'tae_circ_000087','8187','44.363','1.0695'
'tae_circ_000088','229','48.0349','0.7742'
'tae_circ_000089','11129','45.0535','1.0242'
'tae_circ_000090','2738','38.0935','0.7952'
'tae_circ_000091','536','36.9403','0.8333'
'tae_circ_000092','55746','44.457','1.0637'
'tae_circ_000093','45505','42.5118','1.032'
'tae_circ_000094','59261','45.4717','1.0435'
'tae_circ_000095','9689','46.9708','0.8017'
'tae_circ_000096','79999','44.1118','1.0152'
'tae_circ_000097','11643','43.0216','1.0337'
'tae_circ_000098','1173','37.7664','0.9602'
