,Seq Name,Width
0,lcl|Zmays_AC149829.2_FGT002,255
1,lcl|Zmays_AC155352.2_FGT009,333
2,lcl|Zmays_AC155434.2_FGT008,309
3,lcl|Zmays_AC155610.2_FGT009,201
4,lcl|Zmays_AC155624.2_FGT008,279
5,lcl|Zmays_AC155624.2_FGT012,303
6,lcl|Zmays_AC177815.2_FGT003,351
7,lcl|Zmays_AC177819.2_FGT005,306
8,lcl|Zmays_AC177820.3_FGT007,327
9,lcl|Zmays_AC177837.3_FGT012,345
10,lcl|Zmays_AC177838.2_FGT009,246
11,lcl|Zmays_AC177840.3_FGT003,243
12,lcl|Zmays_AC177844.2_FGT003,309
13,lcl|Zmays_AC177846.2_FGT001,360
14,lcl|Zmays_AC177849.3_FGT001,210
15,lcl|Zmays_AC177850.2_FGT006,252
16,lcl|Zmays_AC177852.2_FGT003,243
17,lcl|Zmays_AC177854.5_FGT003,219
18,lcl|Zmays_AC177862.3_FGT002,252
19,lcl|Zmays_AC177863.3_FGT013,351
20,lcl|Zmays_AC177867.2_FGT001,351
21,lcl|Zmays_AC177868.3_FGT005,294
22,lcl|Zmays_AC177882.3_FGT006,354
23,lcl|Zmays_AC177883.2_FGT003,357
24,lcl|Zmays_AC177884.3_FGT008,252
25,lcl|Zmays_AC177886.2_FGT001,309
26,lcl|Zmays_AC177888.2_FGT002,297
27,lcl|Zmays_AC177889.2_FGT006,435
28,lcl|Zmays_AC177897.2_FGT036,264
29,lcl|Zmays_AC177905.2_FGT001,211
30,lcl|Zmays_AC177905.2_FGT007,345
31,lcl|Zmays_AC177907.4_FGT006,240
32,lcl|Zmays_AC177909.3_FGT007,207
33,lcl|Zmays_AC177922.2_FGT001,219
34,lcl|Zmays_AC177924.2_FGT003,336
35,lcl|Zmays_AC177926.2_FGT017,246
36,lcl|Zmays_AC177933.2_FGT003,264
37,lcl|Zmays_AC177933.2_FGT005,285
38,lcl|Zmays_AC177934.2_FGT001,264
39,lcl|Zmays_AC177939.3_FGT004,291
40,lcl|Zmays_AC177941.3_FGT008,279
41,lcl|Zmays_AC177944.2_FGT001,285
42,lcl|Zmays_AC182105.3_FGT001,267
43,lcl|Zmays_AC182110.4_FGT002,255
44,lcl|Zmays_AC182414.3_FGT001,354
45,lcl|Zmays_AC182414.3_FGT003,348
46,lcl|Zmays_AC182440.4_FGT002,309
47,lcl|Zmays_AC182440.4_FGT003,336
48,lcl|Zmays_AC182481.3_FGT003,333
49,lcl|Zmays_AC182606.4_FGT002,270
50,lcl|Zmays_AC182611.4_FGT004,261
51,lcl|Zmays_AC182623.3_FGT004,240
52,lcl|Zmays_AC182823.3_FGT007,219
53,lcl|Zmays_AC182830.3_FGT003,291
54,lcl|Zmays_AC182833.3_FGT014,345
55,lcl|Zmays_AC182835.3_FGT004,261
56,lcl|Zmays_AC183314.3_FGT007,309
57,lcl|Zmays_AC183318.3_FGT001,303
58,lcl|Zmays_AC183372.4_FGT008,330
59,lcl|Zmays_AC183503.2_FGT001,234
60,lcl|Zmays_AC183503.2_FGT002,339
61,lcl|Zmays_AC183509.1_FGT002,261
62,lcl|Zmays_AC183511.4_FGT003,492
63,lcl|Zmays_AC183659.4_FGT005,216
64,lcl|Zmays_AC183659.4_FGT006,252
65,lcl|Zmays_AC183661.3_FGT004,255
66,lcl|Zmays_AC183822.3_FGT001,237
67,lcl|Zmays_AC183823.3_FGT006,264
68,lcl|Zmays_AC183825.3_FGT003,294
69,lcl|Zmays_AC183895.3_FGT001,327
70,lcl|Zmays_AC183912.3_FGT002,306
71,lcl|Zmays_AC183914.3_FGT002,279
72,lcl|Zmays_AC183915.4_FGT002,261
73,lcl|Zmays_AC183926.3_FGT003,306
74,lcl|Zmays_AC183926.3_FGT005,306
75,lcl|Zmays_AC183927.3_FGT003,285
76,lcl|Zmays_AC183929.4_FGT003,342
77,lcl|Zmays_AC183932.3_FGT004,336
78,lcl|Zmays_AC183938.4_FGT004,339
79,lcl|Zmays_AC183939.3_FGT003,354
80,lcl|Zmays_AC183939.3_FGT005,225
81,lcl|Zmays_AC183944.4_FGT002,276
82,lcl|Zmays_AC183956.3_FGT002,216
83,lcl|Zmays_AC183969.3_FGT001,309
84,lcl|Zmays_AC183969.3_FGT003,294
85,lcl|Zmays_AC183969.3_FGT008,249
86,lcl|Zmays_AC183974.4_FGT001,306
87,lcl|Zmays_AC184113.4_FGT001,240
88,lcl|Zmays_AC184132.3_FGT007,279
89,lcl|Zmays_AC184138.4_FGT003,360
90,lcl|Zmays_AC184164.2_FGT005,360
91,lcl|Zmays_AC184168.3_FGT004,225
92,lcl|Zmays_AC184171.4_FGT003,285
93,lcl|Zmays_AC184691.2_FGT001,264
94,lcl|Zmays_AC184694.3_FGT007,276
95,lcl|Zmays_AC184698.4_FGT004,294
96,lcl|Zmays_AC184705.4_FGT001,201
97,lcl|Zmays_AC184765.4_FGT004,258
98,lcl|Zmays_AC184768.3_FGT001,210
99,lcl|Zmays_AC184781.4_FGT010,330
100,lcl|Zmays_AC184790.3_FGT003,234
101,lcl|Zmays_AC184832.2_FGT001,204
102,lcl|Zmays_AC184834.3_FGT005,240
103,lcl|Zmays_AC184845.4_FGT004,294
104,lcl|Zmays_AC184851.4_FGT005,333
105,lcl|Zmays_AC184854.4_FGT001,345
106,lcl|Zmays_AC184856.3_FGT002,246
107,lcl|Zmays_AC184868.2_FGT005,246
108,lcl|Zmays_AC184868.2_FGT006,270
109,lcl|Zmays_AC184873.4_FGT001,261
110,lcl|Zmays_AC185108.3_FGT006,237
111,lcl|Zmays_AC185111.3_FGT003,201
112,lcl|Zmays_AC185111.3_FGT004,294
113,lcl|Zmays_AC185115.2_FGT005,261
114,lcl|Zmays_AC185126.3_FGT002,270
115,lcl|Zmays_AC185128.2_FGT002,309
116,lcl|Zmays_AC185216.4_FGT002,315
117,lcl|Zmays_AC185217.3_FGT003,264
118,lcl|Zmays_AC185218.4_FGT007,309
119,lcl|Zmays_AC185222.5_FGT001,234
120,lcl|Zmays_AC185222.5_FGT002,282
121,lcl|Zmays_AC185226.4_FGT006,276
122,lcl|Zmays_AC185226.4_FGT007,336
123,lcl|Zmays_AC185234.4_FGT001,276
124,lcl|Zmays_AC185251.3_FGT002,294
125,lcl|Zmays_AC185254.4_FGT005,333
126,lcl|Zmays_AC185262.2_FGT003,312
127,lcl|Zmays_AC185276.2_FGT003,252
128,lcl|Zmays_AC185279.3_FGT002,273
129,lcl|Zmays_AC185287.3_FGT001,348
130,lcl|Zmays_AC185304.4_FGT008,336
131,lcl|Zmays_AC185305.3_FGT003,240
132,lcl|Zmays_AC185309.5_FGT001,255
133,lcl|Zmays_AC185310.4_FGT002,270
134,lcl|Zmays_AC185313.5_FGT001,231
135,lcl|Zmays_AC185313.5_FGT006,303
136,lcl|Zmays_AC185323.3_FGT002,336
137,lcl|Zmays_AC185411.3_FGT003,354
138,lcl|Zmays_AC185414.3_FGT003,270
139,lcl|Zmays_AC185421.3_FGT003,222
140,lcl|Zmays_AC185421.3_FGT005,300
141,lcl|Zmays_AC185427.5_FGT001,255
142,lcl|Zmays_AC185429.3_FGT005,324
143,lcl|Zmays_AC185434.4_FGT004,291
144,lcl|Zmays_AC185436.3_FGT004,342
145,lcl|Zmays_AC185438.2_FGT001,330
146,lcl|Zmays_AC185448.2_FGT005,351
147,lcl|Zmays_AC185449.3_FGT006,321
148,lcl|Zmays_AC185455.3_FGT001,324
149,lcl|Zmays_AC185458.4_FGT003,303
150,lcl|Zmays_AC185464.3_FGT001,354
151,lcl|Zmays_AC185467.3_FGT001,261
152,lcl|Zmays_AC185473.3_FGT005,342
153,lcl|Zmays_AC185474.3_FGT009,228
154,lcl|Zmays_AC185479.3_FGT006,255
155,lcl|Zmays_AC185504.4_FGT001,312
156,lcl|Zmays_AC185504.4_FGT006,222
157,lcl|Zmays_AC185510.3_FGT001,240
158,lcl|Zmays_AC185514.3_FGT007,300
159,lcl|Zmays_AC185522.2_FGT001,306
160,lcl|Zmays_AC185530.2_FGT005,249
161,lcl|Zmays_AC185588.2_FGT008,207
162,lcl|Zmays_AC185591.4_FGT017,324
163,lcl|Zmays_AC185593.3_FGT002,354
164,lcl|Zmays_AC185605.3_FGT004,237
165,lcl|Zmays_AC185610.3_FGT001,336
166,lcl|Zmays_AC185610.3_FGT003,297
167,lcl|Zmays_AC185611.3_FGT001,324
168,lcl|Zmays_AC185623.4_FGT010,261
169,lcl|Zmays_AC185625.4_FGT004,324
170,lcl|Zmays_AC185632.3_FGT001,339
171,lcl|Zmays_AC185642.4_FGT001,327
172,lcl|Zmays_AC185654.3_FGT006,285
173,lcl|Zmays_AC185662.2_FGT003,255
174,lcl|Zmays_AC185667.3_FGT007,219
175,lcl|Zmays_AC185667.3_FGT008,333
176,lcl|Zmays_AC185668.3_FGT004,276
177,lcl|Zmays_AC186021.3_FGT001,333
178,lcl|Zmays_AC186026.3_FGT004,342
179,lcl|Zmays_AC186030.3_FGT003,201
180,lcl|Zmays_AC186146.3_FGT002,231
181,lcl|Zmays_AC186220.4_FGT004,351
182,lcl|Zmays_AC186222.3_FGT004,306
183,lcl|Zmays_AC186226.5_FGT004,246
184,lcl|Zmays_AC186227.3_FGT003,285
185,lcl|Zmays_AC186227.3_FGT005,354
186,lcl|Zmays_AC186228.4_FGT003,219
187,lcl|Zmays_AC186234.3_FGT002,345
188,lcl|Zmays_AC186282.3_FGT003,294
189,lcl|Zmays_AC186302.3_FGT004,228
190,lcl|Zmays_AC186307.4_FGT001,219
191,lcl|Zmays_AC186308.4_FGT006,228
192,lcl|Zmays_AC186314.4_FGT003,297
193,lcl|Zmays_AC186317.3_FGT002,219
194,lcl|Zmays_AC186323.3_FGT008,249
195,lcl|Zmays_AC186329.3_FGT009,210
196,lcl|Zmays_AC186333.2_FGT006,321
197,lcl|Zmays_AC186336.4_FGT006,201
198,lcl|Zmays_AC186337.3_FGT006,321
199,lcl|Zmays_AC186340.4_FGT004,291
200,lcl|Zmays_AC186370.2_FGT007,273
201,lcl|Zmays_AC186371.3_FGT005,234
202,lcl|Zmays_AC186372.4_FGT001,240
203,lcl|Zmays_AC186374.4_FGT004,261
204,lcl|Zmays_AC186377.3_FGT005,261
205,lcl|Zmays_AC186406.4_FGT005,252
206,lcl|Zmays_AC186409.4_FGT002,300
207,lcl|Zmays_AC186417.3_FGT007,207
208,lcl|Zmays_AC186424.4_FGT010,306
209,lcl|Zmays_AC186438.3_FGT004,231
210,lcl|Zmays_AC186506.3_FGT002,312
211,lcl|Zmays_AC186518.3_FGT003,288
212,lcl|Zmays_AC186519.4_FGT009,291
213,lcl|Zmays_AC186522.3_FGT001,354
214,lcl|Zmays_AC186525.4_FGT005,306
215,lcl|Zmays_AC186529.4_FGT001,237
216,lcl|Zmays_AC186563.4_FGT004,282
217,lcl|Zmays_AC186565.3_FGT002,282
218,lcl|Zmays_AC186574.3_FGT002,234
219,lcl|Zmays_AC186580.4_FGT004,273
220,lcl|Zmays_AC186582.3_FGT012,336
221,lcl|Zmays_AC186585.4_FGT003,1043
222,lcl|Zmays_AC186589.3_FGT003,336
223,lcl|Zmays_AC186589.3_FGT007,279
224,lcl|Zmays_AC186612.3_FGT001,312
225,lcl|Zmays_AC186620.3_FGT011,282
226,lcl|Zmays_AC186626.4_FGT005,246
227,lcl|Zmays_AC186627.4_FGT002,387
228,lcl|Zmays_AC186645.3_FGT002,345
229,lcl|Zmays_AC186653.4_FGT003,354
230,lcl|Zmays_AC186653.4_FGT005,336
231,lcl|Zmays_AC186656.4_FGT004,327
232,lcl|Zmays_AC186657.3_FGT004,213
233,lcl|Zmays_AC186663.3_FGT002,258
234,lcl|Zmays_AC186680.3_FGT005,327
235,lcl|Zmays_AC186683.3_FGT004,312
236,lcl|Zmays_AC186691.4_FGT003,270
237,lcl|Zmays_AC186691.4_FGT009,342
238,lcl|Zmays_AC186743.4_FGT003,336
239,lcl|Zmays_AC186789.4_FGT001,219
240,lcl|Zmays_AC186798.2_FGT002,237
241,lcl|Zmays_AC186807.4_FGT002,339
242,lcl|Zmays_AC186815.3_FGT002,342
243,lcl|Zmays_AC186819.3_FGT004,294
244,lcl|Zmays_AC186831.3_FGT002,357
245,lcl|Zmays_AC186845.4_FGT009,318
246,lcl|Zmays_AC186887.4_FGT002,456
247,lcl|Zmays_AC186888.2_FGT006,324
248,lcl|Zmays_AC186891.3_FGT004,303
249,lcl|Zmays_AC186891.3_FGT005,315
250,lcl|Zmays_AC186893.4_FGT004,231
251,lcl|Zmays_AC186897.4_FGT009,225
252,lcl|Zmays_AC186902.4_FGT001,348
253,lcl|Zmays_AC186904.4_FGT006,333
254,lcl|Zmays_AC186905.3_FGT013,342
255,lcl|Zmays_AC187037.4_FGT005,213
256,lcl|Zmays_AC187039.3_FGT005,285
257,lcl|Zmays_AC187047.5_FGT006,237
258,lcl|Zmays_AC187050.4_FGT004,255
259,lcl|Zmays_AC187055.3_FGT001,240
260,lcl|Zmays_AC187078.3_FGT002,270
261,lcl|Zmays_AC187078.3_FGT005,252
262,lcl|Zmays_AC187093.4_FGT002,324
263,lcl|Zmays_AC187098.4_FGT002,207
264,lcl|Zmays_AC187098.4_FGT003,207
265,lcl|Zmays_AC187142.3_FGT007,276
266,lcl|Zmays_AC187147.4_FGT001,264
267,lcl|Zmays_AC187147.4_FGT002,276
268,lcl|Zmays_AC187153.4_FGT002,243
269,lcl|Zmays_AC187207.3_FGT001,339
270,lcl|Zmays_AC187207.3_FGT010,207
271,lcl|Zmays_AC187209.5_FGT011,255
272,lcl|Zmays_AC187211.4_FGT005,333
273,lcl|Zmays_AC187223.4_FGT001,213
274,lcl|Zmays_AC187223.4_FGT004,213
275,lcl|Zmays_AC187232.2_FGT005,294
276,lcl|Zmays_AC187235.3_FGT002,252
277,lcl|Zmays_AC187240.3_FGT004,261
278,lcl|Zmays_AC187248.6_FGT001,222
279,lcl|Zmays_AC187251.5_FGT002,270
280,lcl|Zmays_AC187256.3_FGT001,249
281,lcl|Zmays_AC187261.3_FGT002,357
282,lcl|Zmays_AC187279.3_FGT003,327
283,lcl|Zmays_AC187280.3_FGT001,279
284,lcl|Zmays_AC187283.3_FGT005,249
285,lcl|Zmays_AC187340.3_FGT002,249
286,lcl|Zmays_AC187384.4_FGT001,321
