,Seq Name,Width,GC Content,GC Ratio
0,HVU_circ00001_MLOC_65169|Chr1(+):(526316-526391)(526316-526391)(526493-526522)(526610-526875),448,43.5268,1.2414
1,HVU_circ00001_MLOC_65169|Chr1(+):(526316-526522)(526316-526522)(526610-526875),680,40.0,1.1085
2,HVU_circ00002_MLOC_34765|Chr1(+):(809681-810240)(809681-810240),1120,52.5,1.352
3,HVU_circ00002_MLOC_34765|Chr1(+):(809681-810179)(809681-810179),998,54.1082,1.4107
4,HVU_circ00002_MLOC_34765|Chr1(+):(809681-810226)(809681-810226),1092,52.5641,1.3525
5,HVU_circ00003_MLOC_79508|Chr1(-):(929915-929230)(929915-929230),1372,50.2915,0.8956
6,HVU_circ00004_MLOC_57153|Chr1(-):(1803060-1802890)(1803060-1802890)(1802754-1802675)(1802569-1802241),751,54.5939,1.5
7,HVU_circ00004_MLOC_57153|Chr1(-):(1803060-1802890)(1803060-1802890)(1802754-1802675)(1802569-1802269),723,55.1867,1.4783
8,HVU_circ00004_MLOC_57153|Chr1(-):(1803060-1802890)(1803060-1802890)(1802754-1802675)(1802569-1802282),710,55.3521,1.5032
9,HVU_circ00005_MLOC_57153|Chr1(-):(1805507-1805376)(1805507-1805376)(1805228-1805089)(1804720-1804634)(1804287-1804162)(1805089-1805089)(1804721-1804634)(1804287-1804162),832,54.6875,0.9869
10,HVU_circ00005_MLOC_57153|Chr1(-):(1805507-1805376)(1805507-1805376)(1805228-1805089)(1804720-1804634)(1804287-1804162)(1805333-1805089)(1804720-1804634)(1804287-1804162),1075,52.7442,1.0693
11,HVU_circ00006_MLOC_73882|Chr1(-):(2342453-2340440)(2342453-2340440),4028,46.9215,1.2937
12,HVU_circ00007_MLOC_51103|Chr1(+):(5635517-5635821)(5635517-5635821),610,42.623,1.5
13,HVU_circ00008_MLOC_36487|Chr1(-):(6637893-6637738)(6637893-6637738)(6637631-6637523)(6637434-6637291)(6637052-6636948),670,49.7015,0.936
14,HVU_circ00008_MLOC_36487|Chr1(-):(6638698-6637738)(6638698-6637738)(6637631-6637523)(6637434-6637291)(6637052-6636948),2280,44.7807,1.1095
15,HVU_circ00009_MLOC_36487|Chr1(-):(6637631-6637523)(6637631-6637523)(6637434-6637291)(6637052-6636948),467,45.6103,1.13
16,HVU_circ00010_MLOC_15704|Chr1(-):(11559625-11559410)(11559625-11559410),432,62.963,0.8133
17,HVU_circ00011_MLOC_15704|Chr1(-):(11559625-11559410)(11559625-11559410),432,62.963,0.8133
18,HVU_circ00012_MLOC_15704|Chr1(-):(11559625-11559410)(11559625-11559410),432,62.963,0.8133
19,HVU_circ00013_MLOC_60372|Chr1(-):(18129834-18126864)(18129834-18126864),5942,47.2232,0.8934
20,HVU_circ00013_MLOC_60372|Chr1(-):(18129857-18128295)(18129857-18128295),3126,56.238,0.8199
21,HVU_circ00013_MLOC_60372|Chr1(-):(18129857-18126864)(18129857-18126864),5988,47.3614,0.9059
22,HVU_circ00013_MLOC_60372|Chr1(-):(18129857-18123823)(18129857-18123823),12070,41.7896,0.9657
23,HVU_circ00013_MLOC_60372|Chr1(-):(18129846-18126864)(18129846-18126864),5966,47.3014,0.8991
24,HVU_circ00013_MLOC_60372|Chr1(-):(18129181-18126864)(18129181-18126864),4636,42.1915,1.0809
25,HVU_circ00014_MLOC_65784|Chr1(+):(18203211-18203439)(18203211-18203439),458,47.5983,0.8167
