,Seq Name,Width,GC Content,GC Ratio
0,GMA_circ00543_GLYMA18G01870|Chr18(+):(1093544-1093782)(1093544-1093782)(1093782-1095116)(1094206-1094277)(1094357-1094433)(1094522-1094612)(1093744-1094707)(1094707-1095116),3427,39.0137,1.4309
1,GMA_circ00544_GLYMA18G02650|Chr18(+):(1681003-1681296)(1681003-1681296)(1681296-1682592)(1681499-1681823)(1681074-1682510)(1682510-1682592),3730,39.3566,0.8869
2,GMA_circ00545_GLYMA18G04081|Chr18(+):(2847341-2847813)(2847341-2847813)(2847813-2848796)(2848357-2848653)(2847783-2848757)(2848757-2848796),3242,40.3763,1.1601
3,GMA_circ00546_GLYMA18G05640|Chr18(-):(4240880-4239679)(4240880-4239679)(4241310-4240880)(4240596-4240480)(4240254-4240169)(4239886-4239285)(4241310-4239886),5065,37.078,1.1761
4,GMA_circ00547_GLYMA18G06560|Chr18(-):(5115379-5115001)(5115379-5115001)(5115406-5115379)(5115248-5114525)(5115406-5115248),1669,42.9599,2.1447
5,GMA_circ00548_GLYMA18G07160|Chr18(-):(5845021-5844636)(5845021-5844636),772,42.228,1.7627
6,GMA_circ00549_GLYMA18G08240|Chr18(+):(7024671-7025740)(7024671-7025740)(7025740-7027754)(7025874-7026086)(7026594-7026673)(7026790-7026882)(7026959-7027032)(7027116-7027248)(7025607-7027728)(7027728-7027754),6897,38.4515,1.0322
7,GMA_circ00550_GLYMA18G08630|Chr18(-):(7355947-7355627)(7355947-7355627),642,37.6947,16.2857
8,GMA_circ00551_GLYMA18G13260|Chr18(-):(12745769-12743797)(12745769-12743797)(12745852-12745769)(12745639-12745571)(12745117-12745054)(12744719-12744646)(12744530-12744447)(12744144-12744060)(12743843-12743758)(12745852-12743843),6502,33.4666,1.1673
9,GMA_circ00552_GLYMA18G14410|Chr18(-):(14231133-14229188)(14231133-14229188)(14231166-14231133)(14230144-14229912)(14229749-14229699)(14229308-14228642)(14231166-14229308),6736,35.5701,1.2863
10,GMA_circ00553_GLYMA18G44880|Chr18(-):(54602468-54601512)(54602468-54601512),1914,49.3208,0.5375
11,GMA_circ00554_GLYMA18G47070|Chr18(-):(56724358-56723856)(56724358-56723856),1006,43.34,2.2537
12,GMA_circ00555_GLYMA18G48010|Chr18(+):(57531599-57531658)(57531599-57531658)(57531658-57533994)(57531744-57531796)(57532445-57532542)(57532807-57532906)(57531603-57533755)(57533755-57533994),5101,34.8167,1.1845
13,GMA_circ00555_GLYMA18G48010|Chr18(+):(57531599-57531658)(57531599-57531658)(57531658-57533994)(57531744-57531796)(57532445-57532542)(57532653-57532726)(57532807-57532906)(57531603-57533755)(57533755-57533994),5175,34.8792,1.1669
14,GMA_circ00556_GLYMA18G48620|Chr18(-):(58027118-58025051)(58027118-58025051)(58027394-58027118)(58027039-58026974)(58026848-58026716)(58026475-58026320)(58026217-58026161)(58025129-58024550)(58027394-58025129),7671,35.3539,1.4193
15,GMA_circ00557_GLYMA18G48620|Chr18(-):(58027118-58025060)(58027118-58025060)(58027403-58027118)(58027039-58026974)(58026848-58026716)(58026475-58026320)(58026217-58026161)(58025129-58024550)(58027403-58025129),7671,35.3539,1.4236
16,GMA_circ00558_GLYMA18G48620|Chr18(-):(58027394-58027200)(58027394-58027200),390,52.8205,1.7838
17,GMA_circ00559_GLYMA18G48620|Chr18(-):(58027403-58027209)(58027403-58027209),390,53.3333,1.7368
18,GMA_circ00560_GLYMA18G49480|Chr18(+):(58893259-58893569)(58893259-58893569)(58893569-58894313)(58893835-58893901)(58893479-58894140)(58894140-58894313),2270,35.5507,1.6201
19,GMA_circ00561_GLYMA18G52610|Chr18(+):(61174031-61174633)(61174031-61174633),1206,47.4295,1.5088
20,GMA_circ00001_GLYMA01G00740|Chr1(+):(429611-429718)(429611-429718)(429718-430437)(429611-430179)(430179-430437),1764,37.4717,1.5521
