@relation relation name
@attribute Seq Name string
@attribute Width string
@attribute GC Content string
@attribute GC Ratio string
@data
'ath_circ_000001','281','44.8399','1.3774'
'ath_circ_000002','137','39.4161','4.4'
'ath_circ_000003','238','41.1765','2.0625'
'ath_circ_000004','148','35.8108','1.65'
'ath_circ_000005','121','42.1488','1.2174'
'ath_circ_000006','112','45.5357','0.5'
'ath_circ_000007','394','37.0558','0.5052'
'ath_circ_000008','405','36.2963','0.9865'
'ath_circ_000009','209','37.799','1.5484'
'ath_circ_000010','224','46.4286','0.7333'
'ath_circ_000011','184','32.6087','0.5789'
'ath_circ_000012','246','44.7154','1.2449'
'ath_circ_000013','556','38.1295','0.9099'
'ath_circ_000014','598','38.796','0.9174'
'ath_circ_000015','422','37.2038','0.7444'
'ath_circ_000016','63','33.3333','1.3333'
'ath_circ_000017','223','54.2601','1.0862'
'ath_circ_000018','146','42.4658','0.9375'
'ath_circ_000019','578','50.519','0.9085'
'ath_circ_000020','210','44.2857','0.5763'
'ath_circ_000021','102','50.0','2.1875'
'ath_circ_000022','96','40.625','0.5'
'ath_circ_000023','87','41.3793','0.2857'
'ath_circ_000024','319','40.7524','0.9403'
'ath_circ_000025','545','40.367','1.0183'
'ath_circ_000026','816','40.1961','0.9879'
'ath_circ_000027','1054','39.4687','0.9349'
'ath_circ_000028','3995','39.3742','0.8571'
'ath_circ_000029','6571','37.3155','0.8689'
'ath_circ_000030','1031','39.0883','0.9375'
'ath_circ_000031','327','41.5902','0.9155'
'ath_circ_000032','515','40.7767','0.8919'
'ath_circ_000033','1832','40.8297','0.7981'
'ath_circ_000034','155','40.6452','0.7027'
'ath_circ_000035','888','43.018','0.7685'
'ath_circ_000036','285','36.1404','0.7167'
'ath_circ_000037','285','51.9298','1.0274'
'ath_circ_000038','1033','40.7551','0.9401'
'ath_circ_000039','1671','29.982','0.8352'
'ath_circ_000040','93','50.5376','1.2381'
'ath_circ_000041','947','28.5111','0.9286'
'ath_circ_000042','1182','29.1032','0.9218'
'ath_circ_000043','284','45.4225','1.3036'
'ath_circ_000044','83','40.9639','1.4286'
'ath_circ_000045','288','45.8333','0.8857'
'ath_circ_000046','112','49.1071','0.3095'
'ath_circ_000047','352','36.9318','1.5'
'ath_circ_000048','352','36.9318','1.5'
'ath_circ_000049','549','35.7013','1.5455'
'ath_circ_000050','686','35.5685','1.3922'
'ath_circ_000051','156','44.2308','1.0909'
'ath_circ_000052','390','41.2821','0.9398'
'ath_circ_000053','148','45.2703','0.9706'
'ath_circ_000054','409','32.7628','1.2333'
'ath_circ_000055','4487','34.3437','1.025'
'ath_circ_000056','296','55.0676','1.0897'
'ath_circ_000057','154','49.3506','1.303'
'ath_circ_000058','84','45.2381','1.5333'
'ath_circ_000059','2774','39.2934','0.9963'
'ath_circ_000060','291','35.0515','1.2667'
'ath_circ_000061','2089','39.3011','0.9783'
'ath_circ_000062','310','41.9355','0.7333'
'ath_circ_000063','595','40.5042','0.9754'
'ath_circ_000064','351','43.5897','1.0676'
'ath_circ_000065','195','40.5128','1.1351'
'ath_circ_000066','398','40.4523','1.0641'
'ath_circ_000067','516','40.8915','1.0485'
'ath_circ_000068','772','40.9326','1.0256'
'ath_circ_000069','56','33.9286','0.3571'
'ath_circ_000070','300','42.6667','0.7067'
'ath_circ_000071','526','40.3042','1.2083'
'ath_circ_000072','341','41.349','1.3898'
'ath_circ_000073','1433','39.0091','0.8388'
'ath_circ_000074','798','37.3434','0.8395'
'ath_circ_000075','278','50.3597','1.0588'
'ath_circ_000076','360','40.5556','0.8961'
'ath_circ_000077','266','42.8571','1.2353'
'ath_circ_000078','389','35.2185','0.7342'
'ath_circ_000079','997','38.3149','1.0'
'ath_circ_000080','54','40.7407','2.6667'
'ath_circ_000081','99','39.3939','2.0'
'ath_circ_000082','814','41.5233','0.827'
'ath_circ_000083','793','39.0921','0.7514'
'ath_circ_000084','637','32.3391','1.0808'
'ath_circ_000085','1680','41.1905','0.7563'
'ath_circ_000086','1681','41.166','0.7563'
'ath_circ_000087','685','41.7518','0.7764'
'ath_circ_000088','426','42.0188','0.7549'
'ath_circ_000089','659','40.8194','0.8811'
'ath_circ_000090','985','39.4924','0.8263'
'ath_circ_000091','923','39.545','0.8434'
'ath_circ_000092','455','38.6813','1.0'
'ath_circ_000093','835','38.5629','1.0125'
'ath_circ_000094','633','39.6524','1.2613'
'ath_circ_000095','753','41.3015','1.0596'
'ath_circ_000096','630','38.5714','1.25'
'ath_circ_000097','204','37.2549','2.04'
'ath_circ_000098','132','41.6667','1.5'
'ath_circ_000099','144','49.3056','1.3667'
'ath_circ_000100','375','46.6667','1.4648'
'ath_circ_000101','45','48.8889','6.3333'
'ath_circ_000102','274','40.8759','1.0741'
'ath_circ_000103','309','39.8058','1.5625'
'ath_circ_000104','340','43.2353','1.0137'
'ath_circ_000105','656','40.0915','1.104'
'ath_circ_000106','129','41.8605','0.8621'
'ath_circ_000107','667','37.7811','0.8806'
'ath_circ_000108','104','35.5769','1.0556'
'ath_circ_000109','156','44.8718','0.7073'
'ath_circ_000110','485','40.2062','0.9118'
'ath_circ_000111','586','37.0307','1.2143'
'ath_circ_000112','287','38.676','1.1346'
'ath_circ_000113','230','45.2174','1.08'
'ath_circ_000114','230','45.2174','1.1224'
'ath_circ_000115','103','45.6311','0.5667'
'ath_circ_000116','761','40.0788','1.1034'
'ath_circ_000117','758','39.9736','1.0897'
'ath_circ_000118','1316','38.6778','1.1477'
'ath_circ_000119','328','42.9878','1.3115'
'ath_circ_000120','328','42.9878','1.3115'
'ath_circ_000121','82','29.2683','1.1818'
'ath_circ_000122','294','42.1769','1.0328'
'ath_circ_000123','1362','36.1233','1.0331'
